"_id","location.address.city","location.address.state","location.address.street1","location.address.street2","location.address.zipcode","location.geo.type","theaterId"
"59a47287cfa9a3a73e51ea1f","Clarksville","TN","2801 Wilma Rudolph Blvd.","Ste. 565","37040","Point",2859
"59a47287cfa9a3a73e51ea20","Akron","OH","96 Rothrock Rd","","44321","Point",285
"59a47287cfa9a3a73e51ea21","Paducah","KY","5010 Hinkleville Rd.","Ste. 565","42001","Point",2860
"59a47287cfa9a3a73e51ea22","Norridge","IL","4156-E North Harlem Ave","","60706","Point",2862
"59a47287cfa9a3a73e51ea23","Albuquerque","NM","10000 Coors Bypass","#F03","87114","Point",2853
"59a47287cfa9a3a73e51ea24","Fargo","ND","3902 13th Ave S","Suite 525","58103","Point",2863
"59a47287cfa9a3a73e51ea25","Wichita Falls","TX","3111 Midwestern Parkway","#632","76308","Point",2856
"59a47287cfa9a3a73e51ea26","Langhorne","PA","2300 E Lincoln Highway","Ste 215","19047","Point",2857
"59a47287cfa9a3a73e51ea27","Dover","DE","1365 N Dupont Hwy","Ste 3088","19901","Point",2858
"59a47287cfa9a3a73e51ea28","Janesville","WI","2500 Milton Ave","#150","53545","Point",2867
"59a47287cfa9a3a73e51ea29","Colonial Heights","VA","230 Southpark Circle","#F70","23834","Point",2868
"59a47287cfa9a3a73e51ea2a","Visalia","CA","2163 S Mooney Blvd","","93277","Point",2870
"59a47287cfa9a3a73e51ea2b","San Jose","CA","2200 Eastridge Loop","#1094","95122","Point",2871
"59a47287cfa9a3a73e51ea2c","North Canton","OH","6595 Strip Ave Nw","","44720","Point",286
"59a47287cfa9a3a73e51ea2d","Hayward","CA","269 Southland Mall","","94545","Point",2872
"59a47287cfa9a3a73e51ea2e","Waco","TX","6001 W Waco Dr. #21","","76710","Point",2884
"59a47287cfa9a3a73e51ea2f","Columbus","GA","3131 Manchester Expy","Suite F11","31909","Point",2875
"59a47287cfa9a3a73e51ea30","Amarillo","TX","7701 W Interstate 40","#624","79121","Point",2877
"59a47287cfa9a3a73e51ea31","Sarasota","FL","8201 S Tamiami Trail","#A13","34238","Point",2878
"59a47287cfa9a3a73e51ea32","Scranton","PA","100 Viewmont Mall","#828","18508","Point",2879
"59a47287cfa9a3a73e51ea33","Woodbridge","VA","2730 Prince William Pkwy","","22192","Point",287
"59a47287cfa9a3a73e51ea34","Frederick","MD","5500 Buckeystown Pike","Ste 426","21703","Point",2880
"59a47287cfa9a3a73e51ea35","Tucson","AZ","5870 E Broadway Blvd","Suite 360","85711","Point",2881
"59a47287cfa9a3a73e51ea36","Albuquerque","NM","6600 Menaul Blve NE","","87110","Point",2882
"59a47287cfa9a3a73e51ea37","Brockton","MA","200 Westgate Dr","Ste E105","02301","Point",2883
"59a47287cfa9a3a73e51ea38","Chesapeake","VA","1401 Greenbrier Parkway South","#1094","23320","Point",2873
"59a47287cfa9a3a73e51ea39","Victorville","CA","14400 Bear Valley Rd","#811","92392","Point",2885
"59a47287cfa9a3a73e51ea3a","Cedar Park","TX","11200 Lakeline Mall Dr","#M09","78613","Point",2886
"59a47287cfa9a3a73e51ea3b","Springfield","MO","2825 S Glenstone Ave","#T04","65804","Point",2887
"59a47287cfa9a3a73e51ea3c","St Louis","MO","1155 Saint Louis Galleria","Ste 2077","63117","Point",2897
"59a47287cfa9a3a73e51ea3d","Lincolnwood","IL","3333 W Touhy Ave","Ste #G10B","60712","Point",2889
"59a47287cfa9a3a73e51ea3e","Albany","GA","2601 Dawson Rd","Ste B05","31707","Point",2899
"59a47287cfa9a3a73e51ea3f","Boise","ID","350 N Milwaukee St","Ste 2093","83704","Point",2890
